Frequency Value,FP01,FP02,FP03,FP04,FP05,FP06,FP07,FP08,FP09,FP10,FP11,FP12,FP13,FP14,FP15,FP16
0,0.00006978858,0.162053,0.172555,0.10408,0.152863,0.127496,0.141297,0.185396,0.738749,0.795674,0.782204,0.80605,0.980055,0.978102,1,0.911317
0.390625,0.003824,0.155174,0.144515,0.105446,0.285311,0.259864,0.265445,0.30399,0.617607,0.701843,0.68377,0.708464,0.982459,0.98507,1,0.927558
0.78125,0.013131,0.114635,0.107242,0.049983,0.281357,0.289086,0.292172,0.292617,0.541246,0.626549,0.606581,0.628479,0.985109,0.990453,1,0.946307
1.171875,0.007086,0.070564,0.090266,0.03939,0.217875,0.210289,0.212242,0.22266,0.502722,0.571329,0.554975,0.570922,0.988241,0.992207,1,0.949763
1.5625,0.003968,0.01992,0.065219,0.028486,0.135805,0.142426,0.144332,0.13654,0.446412,0.496747,0.484152,0.494254,0.989833,0.992513,1,0.952394
1.953125,0.004919,0.012308,0.047731,0.015583,0.066265,0.107086,0.108454,0.066074,0.402967,0.445949,0.433542,0.440827,0.991861,0.993299,1,0.960111
2.34375,0.011019,0.00718,0.025108,0.006412,0.060056,0.104786,0.105744,0.06022,0.354098,0.385024,0.378315,0.385556,0.992778,0.993282,1,0.960484
2.734375,0.00561,0.009476,0.010804,0.010328,0.07377,0.103368,0.104316,0.074336,0.267711,0.289929,0.284231,0.289986,0.993164,0.993347,1,0.96203
3.125,0.00611,0.013945,0.003658,0.010812,0.043397,0.054278,0.054535,0.043563,0.175989,0.187977,0.180724,0.186642,0.99472,0.994042,1,0.967805
3.515625,0.007517,0.017001,0.007707,0.0121,0.033138,0.038163,0.038179,0.033325,0.127448,0.130371,0.120688,0.126714,0.995043,0.994116,1,0.971152
3.90625,0.007915,0.011733,0.008672,0.018715,0.046172,0.05832,0.058419,0.04619,0.152973,0.153832,0.14668,0.151847,0.994867,0.994126,1,0.974002
4.296875,0.009848,0.007344,0.015351,0.011106,0.049281,0.070926,0.070841,0.048976,0.197301,0.198331,0.19018,0.19479,0.994752,0.993916,1,0.975636
4.6875,0.016204,0.011168,0.021084,0.012903,0.054897,0.070702,0.071047,0.055186,0.201846,0.208661,0.198151,0.203955,0.994167,0.993193,1,0.975763
5.078125,0.006512,0.023348,0.035663,0.011235,0.088302,0.11693,0.117673,0.087553,0.285464,0.294386,0.282617,0.289171,0.993911,0.992857,1,0.977174
5.46875,0.003056,0.035023,0.061099,0.022479,0.120925,0.150251,0.150544,0.121512,0.290609,0.294972,0.287912,0.292653,0.994414,0.993736,1,0.979392
5.859375,0.003118,0.053346,0.086095,0.046132,0.14815,0.166763,0.166906,0.14852,0.287458,0.291026,0.286033,0.289875,0.994505,0.994002,1,0.981527
6.25,0.001357,0.059027,0.124661,0.044291,0.1361,0.171955,0.172274,0.136722,0.307409,0.311968,0.308368,0.31147,0.994981,0.994407,1,0.982939
6.640625,0.004425,0.08462,0.167717,0.0486,0.145484,0.178393,0.178655,0.14672,0.284968,0.289799,0.286105,0.288939,0.995199,0.994573,1,0.98505
7.03125,0.013852,0.133156,0.19778,0.063243,0.161332,0.202105,0.202228,0.162335,0.304439,0.309138,0.308386,0.310328,0.995014,0.994531,1,0.984657
7.421875,0.014465,0.136406,0.207974,0.076986,0.147024,0.175467,0.17525,0.147105,0.276558,0.285011,0.288262,0.288927,0.994723,0.993987,1,0.982956
