Frequency Value,FP01,FP02,FP03,FP04,FP05,FP06,FP07,FP08,FP09,FP10,FP11,FP12,FP13,FP14,FP15,FP16
0,0.000619,0.505866,0.604501,0.090238,0.25493,0.403907,1,0.642947,0.760175,0.021946,0.649909,0.068702,0.672917,0.017787,0.067878,0.369767
0.390625,0.018214,0.593953,0.629255,0.084341,0.277259,0.478614,1,0.59303,0.69462,0.027057,0.70605,0.038985,0.667543,0.017651,0.131065,0.292504
0.78125,0.096278,0.577686,0.61835,0.097661,0.271021,0.545994,1,0.633478,0.557135,0.025353,0.698851,0.029732,0.658929,0.01385,0.088567,0.254083
1.171875,0.038606,0.523107,0.551894,0.241267,0.161072,0.565182,1,0.661843,0.369535,0.008747,0.578181,0.011975,0.603844,0.006647,0.123861,0.162608
1.5625,0.030834,0.552851,0.616545,0.247827,0.217402,0.649425,1,0.697861,0.252353,0.00817,0.591107,0.032925,0.634735,0.005829,0.104451,0.11164
1.953125,0.070659,0.582372,0.641105,0.213524,0.26933,0.595005,1,0.632613,0.140409,0.004384,0.516141,0.0326,0.541003,0.007335,0.022062,0.058439
2.34375,0.088019,0.516169,0.585023,0.17268,0.21729,0.535472,1,0.584171,0.074635,0.00602,0.386991,0.024807,0.466509,0.004947,0.010022,0.042989
2.734375,0.09467,0.442058,0.54341,0.15713,0.242605,0.431012,1,0.549323,0.064859,0.01265,0.33801,0.014112,0.431791,0.006119,0.00237,0.04078
3.125,0.073332,0.381557,0.504046,0.12893,0.225014,0.35464,1,0.45274,0.053921,0.01319,0.255754,0.003953,0.381139,0.001194,0.010111,0.037496
3.515625,0.09441,0.25335,0.404206,0.159047,0.19342,0.270454,1,0.331152,0.029812,0.001463,0.143029,0.0058,0.196941,0.00228,0.006905,0.021351
3.90625,0.10129,0.232742,0.341642,0.156487,0.163412,0.207418,1,0.308058,0.022391,0.000671,0.10665,0.007021,0.171168,0.002975,0.005676,0.019078
4.296875,0.113261,0.220693,0.344639,0.153054,0.178382,0.241259,1,0.353919,0.026003,0.001341,0.131333,0.005828,0.170787,0.00499,0.017906,0.019913
4.6875,0.117844,0.230919,0.368555,0.153237,0.204125,0.274579,1,0.390133,0.016721,0.000628,0.134395,0.002816,0.146584,0.013042,0.025782,0.019014
5.078125,0.123871,0.249037,0.393977,0.151236,0.263517,0.309642,1,0.380246,0.019095,0.000642,0.182271,0.005204,0.188677,0.033092,0.025788,0.016394
5.46875,0.099787,0.250889,0.420333,0.13824,0.230765,0.296094,1,0.312689,0.016708,0.000334,0.19869,0.008689,0.198497,0.036341,0.008309,0.013606
5.859375,0.082927,0.261382,0.398069,0.126533,0.214327,0.232632,1,0.317627,0.018691,0.001375,0.189558,0.006736,0.167701,0.035531,0.010113,0.012502
6.25,0.086934,0.23792,0.329542,0.100882,0.201374,0.194124,1,0.283678,0.020896,0.002262,0.158424,0.004791,0.146431,0.014802,0.003827,0.012523
6.640625,0.091705,0.21255,0.243222,0.100615,0.157005,0.165806,1,0.250465,0.010764,0.001103,0.099668,0.013006,0.11078,0.015737,0.001696,0.006164
7.03125,0.080174,0.130017,0.214652,0.112818,0.126224,0.132231,1,0.205428,0.009702,0.000591,0.073141,0.013825,0.106696,0.005427,0.001432,0.011866
7.421875,0.125231,0.18863,0.246183,0.115941,0.146336,0.116889,1,0.195829,0.005416,0.001407,0.073753,0.012768,0.103698,0.006522,0.001626,0.00681
7.8125,0.054902,0.171797,0.277451,0.080985,0.134272,0.116571,1,0.233098,0.002295,0.001934,0.075477,0.012751,0.129208,0.021209,0.004191,0.004147
8.203125,0.040137,0.105574,0.270722,0.083211,0.142854,0.166098,1,0.246494,0.005179,0.00092,0.110772,0.010858,0.128007,0.013897,0.007061,0.01269
8.59375,0.056867,0.088623,0.250624,0.062607,0.126598,0.170825,1,0.268528,0.009133,0.00054,0.116422,0.0093,0.154185,0.007891,0.018323,0.026192
8.984375,0.060083,0.097606,0.242875,0.099618,0.096592,0.198293,1,0.291628,0.005039,0.003517,0.117152,0.010092,0.18345,0.001877,0.020453,0.041504
9.375,0.030599,0.068536,0.24969,0.092891,0.062522,0.226602,1,0.375546,0.006044,0.009809,0.12746,0.014164,0.207844,0.00218,0.056575,0.078993
9.765625,0.006139,0.027143,0.151619,0.037006,0.033683,0.207002,1,0.416186,0.002828,0.0025,0.074078,0.011622,0.268195,0.009878,0.057973,0.110051
10.15625,0.002546,0.059452,0.126724,0.04891,0.052648,0.180076,1,0.372468,0.003827,0.008895,0.071009,0.013506,0.196655,0.010704,0.029298,0.077943
10.546875,0.003579,0.054072,0.140479,0.055287,0.04583,0.127649,1,0.298079,0.001125,0.007757,0.071195,0.011298,0.158902,0.003806,0.033133,0.063037
10.9375,0.002688,0.076653,0.145585,0.05578,0.058945,0.137674,1,0.314196,0.000826,0.004237,0.053322,0.028698,0.188334,0.000257,0.01796,0.046428
11.328125,0.004274,0.080748,0.154467,0.054803,0.081598,0.126529,1,0.260567,0.002463,0.002977,0.066628,0.0242,0.128194,0.001835,0.014848,0.032706
11.71875,0.015724,0.104688,0.194711,0.057889,0.084444,0.08552,1,0.21514,0.001276,0.001085,0.08303,0.020924,0.101373,0.006755,0.002037,0.009229
12.109375,0.013984,0.113888,0.214208,0.048767,0.117949,0.099149,1,0.207324,0.004858,0.000347,0.109138,0.024498,0.114568,0.004087,0.001491,0.012506
12.5,0.021155,0.108699,0.237505,0.046856,0.151644,0.099158,1,0.155036,0.00621,0.001979,0.128314,0.01423,0.10443,0.003455,0.002094,0.010888
12.890625,0.024528,0.112619,0.209685,0.033715,0.130742,0.072843,1,0.119772,0.007575,0.001121,0.133823,0.015339,0.085973,0.007105,0.001122,0.005412
13.28125,0.014071,0.105497,0.189059,0.044141,0.117249,0.061503,1,0.135399,0.011474,0.002281,0.123932,0.009042,0.082447,0.009756,0.00437,0.007539
13.671875,0.007132,0.094118,0.181493,0.05685,0.114208,0.05468,1,0.145412,0.020426,0.005345,0.132315,0.005198,0.075592,0.009147,0.004679,0.008402
14.0625,0.025024,0.10462,0.173856,0.051733,0.134516,0.050855,1,0.135144,0.015985,0.002162,0.116563,0.002025,0.081706,0.003062,0.004204,0.009532
14.453125,0.030654,0.083134,0.163333,0.053696,0.115733,0.047857,1,0.13674,0.007575,0.000863,0.091292,0.008211,0.076855,0.011416,0.001339,0.003535
14.84375,0.022083,0.098176,0.177141,0.055782,0.105428,0.03048,1,0.091665,0.009157,0.005219,0.102811,0.008851,0.068533,0.011954,0.002054,0.004658
15.234375,0.02258,0.096905,0.150908,0.045696,0.102637,0.03172,1,0.121415,0.007832,0.001214,0.095366,0.007688,0.059994,0.004952,0.003871,0.00697
15.625,0.027474,0.085552,0.156803,0.048825,0.095146,0.018087,1,0.074767,0.015561,0.000136,0.105945,0.000358,0.096342,0.001594,0.009826,0.014911
16.015625,0.022862,0.087997,0.179394,0.0537,0.097207,0.015722,1,0.09515,0.007876,0.001474,0.114972,0.006031,0.061887,0.006995,0.006844,0.006241
16.40625,0.029986,0.056403,0.150813,0.040015,0.097961,0.037786,1,0.126078,0.006867,0.00029,0.104823,0.007885,0.060777,0.004361,0.010235,0.007383
16.796875,0.020398,0.056153,0.133553,0.031464,0.104884,0.034912,1,0.112243,0.014803,0.00046,0.114078,0.002406,0.072734,0.00453,0.010147,0.010288
17.1875,0.004857,0.042098,0.127643,0.029615,0.087408,0.025622,1,0.129772,0.015582,0.004352,0.095292,0.002976,0.085155,0.003713,0.012203,0.01483
17.578125,0.005193,0.045719,0.121889,0.03474,0.067609,0.012171,1,0.110491,0.005873,0.000305,0.073851,0.005084,0.091597,0.001383,0.005718,0.015186
17.96875,0.018324,0.033974,0.106517,0.036992,0.073774,0.01977,1,0.133923,0.004529,0.000842,0.069298,0.004736,0.0821,0.005461,0.004332,0.007657
18.359375,0.014432,0.035292,0.09268,0.037022,0.080011,0.020423,1,0.13313,0.006085,0.002233,0.071165,0.002581,0.084254,0.004177,0.012482,0.014367
18.75,0.0231,0.035193,0.096827,0.063968,0.043689,0.013515,1,0.150065,0.007347,0.004204,0.074275,0.002764,0.09778,0.000932,0.014657,0.022194
19.140625,0.037687,0.018569,0.075728,0.059117,0.040673,0.020152,1,0.168689,0.012316,0.00067,0.07543,0.001031,0.115958,0.000782,0.017568,0.029301
19.53125,0.007991,0.030716,0.10061,0.029596,0.05526,0.011395,1,0.134778,0.005334,0.000384,0.055954,0.002483,0.076745,0.000158,0.009697,0.014137
19.921875,0.011125,0.023666,0.066622,0.010611,0.070862,0.007411,1,0.107055,0.007761,0.002042,0.075653,0.008524,0.055927,0.003887,0.007222,0.006927
20.3125,0.029119,0.026215,0.06746,0.026019,0.049565,0.015324,1,0.146356,0.00458,0.001376,0.070364,0.01194,0.092294,0.000499,0.012924,0.019535
20.703125,0.022078,0.016627,0.077622,0.036742,0.045475,0.007942,1,0.123187,0.002366,0.00008826981,0.061785,0.014253,0.07225,0.000238,0.017545,0.018846
21.09375,0.01848,0.018453,0.087332,0.021024,0.049428,0.019815,1,0.173772,0.001203,0.000628,0.064325,0.023713,0.101966,0.003972,0.007993,0.013965
21.484375,0.011607,0.031453,0.110181,0.038104,0.055251,0.012869,1,0.171731,0.001485,0.001431,0.065867,0.017206,0.088635,0.001637,0.004755,0.011266
21.875,0.014244,0.027291,0.108244,0.033639,0.062054,0.008405,1,0.145336,0.006385,0.000903,0.086844,0.010472,0.10117,0.001747,0.008482,0.016379
22.265625,0.008662,0.026447,0.082203,0.020425,0.079047,0.002835,1,0.10751,0.007265,0.000633,0.074209,0.005613,0.074982,0.000112,0.009478,0.016635
22.65625,0.021916,0.01817,0.046253,0.011875,0.062477,0.004708,1,0.130452,0.004367,0.000103,0.071217,0.010299,0.072749,0.000849,0.005977,0.011013
23.046875,0.020233,0.016181,0.074835,0.009183,0.071069,0.003068,1,0.089338,0.006183,0.000951,0.078218,0.011129,0.063193,0.000528,0.004843,0.009833
23.4375,0.009654,0.026322,0.094624,0.027843,0.087485,0.006041,1,0.097927,0.006926,0.000807,0.086169,0.010101,0.069332,0.002354,0.003644,0.010096
23.828125,0.009362,0.030939,0.097327,0.027363,0.088186,0.003958,1,0.091651,0.003754,0.00032,0.06924,0.012795,0.07106,0.004878,0.005126,0.00832
24.21875,0.006279,0.038242,0.124833,0.033795,0.070658,0.001715,1,0.070794,0.003581,0.000881,0.05416,0.007812,0.054169,0.00127,0.00373,0.00873
24.609375,0.012829,0.037825,0.110632,0.022131,0.085213,0.001245,1,0.060404,0.005769,0.003418,0.083301,0.013021,0.074498,0.001838,0.004398,0.018773
25,0.009313,0.056303,0.104561,0.019284,0.08643,0.002789,1,0.016378,0.002137,0.008987,0.092546,0.026383,0.081406,0.000684,0.00011,0.011379
25.390625,0.004514,0.030454,0.080679,0.022376,0.06864,0.005213,1,0.038972,0.011343,0.002845,0.064353,0.003169,0.046634,0.001223,0.000565,0.004957
25.78125,0.001841,0.024585,0.106434,0.02091,0.098569,0.001096,1,0.058941,0.003948,0.004105,0.055132,0.012736,0.059263,0.001014,0.001391,0.006487
26.171875,0.00416,0.033376,0.08343,0.007665,0.100981,0.001485,1,0.074609,0.005065,0.001726,0.06065,0.013506,0.058185,0.001192,0.000113,0.004636
26.5625,0.009411,0.029692,0.098857,0.019564,0.095892,0.000394,1,0.077742,0.009248,0.004543,0.072208,0.010377,0.069048,0.002484,0.002603,0.013781
26.953125,0.010221,0.036707,0.098823,0.020055,0.110401,0.002499,1,0.094908,0.004723,0.001827,0.078708,0.018899,0.059467,0.000857,0.001448,0.007365
27.34375,0.007446,0.037031,0.080716,0.021015,0.110035,0.000529,1,0.057207,0.007446,0.007548,0.072445,0.007826,0.062218,0.001992,0.00171,0.0061
27.734375,0.005762,0.044034,0.067508,0.011179,0.116113,0.00241,1,0.03748,0.00446,0.002986,0.074482,0.011856,0.046878,0.002862,0.001859,0.002938
28.125,0.007881,0.050515,0.089479,0.013223,0.117168,0.005051,1,0.022188,0.004809,0.002495,0.065493,0.007427,0.040097,0.001944,0.000538,0.002859
28.515625,0.00467,0.027937,0.076568,0.017368,0.096783,0.005988,1,0.052275,0.004701,0.002377,0.056124,0.006352,0.055487,0.002502,0.000576,0.004892
28.90625,0.009108,0.021405,0.071537,0.020428,0.081238,0.006329,1,0.055862,0.003464,0.00387,0.044692,0.009508,0.03583,0.001277,0.001138,0.003541
29.296875,0.01002,0.031063,0.06223,0.017868,0.101237,0.015203,1,0.042848,0.00714,0.000489,0.052908,0.002503,0.032776,0.00361,0.000738,0.00193
29.6875,0.011157,0.025103,0.060655,0.018448,0.109477,0.011791,1,0.044497,0.007613,0.004961,0.039361,0.001893,0.048097,0.007294,0.000216,0.003682
30.078125,0.01553,0.024158,0.071799,0.025717,0.09161,0.006909,1,0.057533,0.004514,0.001201,0.04151,0.00436,0.046955,0.000684,0.000254,0.003088
30.46875,0.012384,0.029031,0.068024,0.012505,0.112425,0.007887,1,0.032279,0.010227,0.001665,0.069531,0.003965,0.04473,0.001573,0.003332,0.008301
30.859375,0.013174,0.027204,0.062868,0.01078,0.092392,0.004876,1,0.046939,0.014456,0.001835,0.079243,0.003336,0.055212,0.00089,0.003937,0.008515
31.25,0.011788,0.032648,0.053842,0.015617,0.110588,0.00203,1,0.038499,0.010642,0.002036,0.062379,0.00116,0.03421,0.003816,0.000602,0.002032
31.640625,0.010741,0.026174,0.052306,0.016736,0.108116,0.003219,1,0.052596,0.003994,0.001523,0.060218,0.00577,0.036348,0.003179,0.000266,0.001831
32.03125,0.006747,0.025521,0.056329,0.009517,0.113364,0.004405,1,0.039929,0.004356,0.001808,0.068272,0.00427,0.037402,0.007748,0.003301,0.002219
32.421875,0.001584,0.027431,0.067766,0.00999,0.11288,0.008984,1,0.037458,0.006918,0.003697,0.05162,0.004604,0.050246,0.00149,0.006659,0.007249
32.8125,0.005626,0.033394,0.072324,0.011715,0.12344,0.014341,1,0.015641,0.008538,0.001035,0.061431,0.002977,0.041127,0.001022,0.001497,0.004335
33.203125,0.006429,0.026563,0.069495,0.02028,0.112366,0.016777,1,0.031504,0.00833,0.000554,0.044447,0.000611,0.034973,0.005634,0.001346,0.002332
33.59375,0.006081,0.022118,0.05501,0.016438,0.122954,0.019561,1,0.02988,0.007036,0.00361,0.035521,0.004168,0.037155,0.007898,0.003232,0.004968
