Frequency Value,FP01,FP02,FP03,FP04,FP05,FP06,FP07,FP08,FP09,FP10,FP11,FP12,FP13,FP14,FP15,FP16
0,0.012933,0.075746,0.281238,0.305785,0.031358,0.004432,1,0.005662,0.014961,0.08219,0.024398,0.001506,0.00000231352,0.019267,0.003428,0.01215
0.390625,0.073829,0.01008,0.0101,0.062998,0.241162,0.02458,1,0.20599,0.028141,0.063186,0.014,0.073536,0.068766,0.02695,0.069824,0.032312
0.78125,0.143384,0.088899,0.020755,0.033118,0.106923,0.091628,1,0.168778,0.02929,0.018524,0.01296,0.041597,0.22834,0.04022,0.118043,0.051424
1.171875,0.172246,0.290329,0.098074,0.083658,0.099412,0.0354,1,0.155858,0.031199,0.111764,0.017648,0.016627,0.241277,0.043714,0.207165,0.092823
1.5625,0.155211,0.511858,0.195853,0.148799,0.132831,0.2188,1,0.472811,0.049521,0.102163,0.050657,0.053018,0.32172,0.022799,0.150363,0.09594
1.953125,0.131456,0.057978,0.01151,0.056945,0.081338,0.301648,1,0.527644,0.082396,0.067736,0.085908,0.085681,0.003042,0.205251,0.024406,0.067061
2.34375,0.126794,0.09542,0.040724,0.307932,0.017672,0.042779,1,0.198691,0.071856,0.093407,0.037202,0.07983,0.006714,0.222569,0.093701,0.07997
2.734375,0.070045,0.163637,0.057549,0.144559,0.432217,0.143603,1,0.096164,0.012536,0.018514,0.035181,0.043369,0.198713,0.031324,0.083268,0.067097
3.125,0.040085,0.020185,0.071988,0.029576,0.279867,0.0425,1,0.045523,0.036274,0.035295,0.023035,0.039522,0.078049,0.024325,0.017191,0.019611
3.515625,0.055456,0.122249,0.033652,0.132056,0.269823,0.024173,1,0.059618,0.12501,0.066345,0.082142,0.190966,0.032167,0.008718,0.029291,0.022307
3.90625,0.108449,0.030519,0.072716,0.131257,0.102644,0.103572,1,0.394407,0.111403,0.060014,0.04728,0.217602,0.009123,0.023938,0.007274,0.004843
4.296875,0.011056,0.077528,0.080514,0.081823,0.096997,0.047409,1,0.178654,0.048208,0.050411,0.089493,0.040347,0.18526,0.132645,0.040844,0.084267
4.6875,0.045522,0.036606,0.056158,0.144939,0.142634,0.018001,1,0.019652,0.114653,0.095205,0.110594,0.101252,0.067582,0.021078,0.028999,0.042618
5.078125,0.027123,0.020232,0.01386,0.039337,0.228459,0.036204,1,0.004561,0.01861,0.022427,0.020824,0.016967,0.032103,0.098244,0.06374,0.071763
5.46875,0.10264,0.031861,0.014794,0.019691,0.594435,0.216413,1,0.087046,0.049946,0.057345,0.036296,0.059312,0.099477,0.032686,0.144727,0.092175
5.859375,0.239274,0.039286,0.008218,0.018549,0.171085,0.175536,1,0.067039,0.051252,0.079936,0.080553,0.01494,0.025682,0.003322,0.044937,0.005413
6.25,0.035622,0.107557,0.074818,0.047216,0.109711,0.042878,1,0.179094,0.102498,0.032956,0.080536,0.144122,0.057246,0.007398,0.026323,0.022044
6.640625,0.056486,0.108723,0.022115,0.03174,0.02707,0.036188,1,0.15603,0.065734,0.079677,0.045908,0.080122,0.033045,0.019266,0.041403,0.035359
7.03125,0.191257,0.04267,0.017511,0.018634,0.014557,0.182506,1,0.141777,0.003578,0.007713,0.002933,0.012351,0.076911,0.046093,0.013468,0.008277
7.421875,0.083928,0.03195,0.018636,0.018498,0.036231,0.139829,1,0.259336,0.019475,0.014289,0.023961,0.021236,0.126199,0.011042,0.058558,0.059325
7.8125,0.117765,0.011729,0.002567,0.024431,0.06351,0.060265,1,0.059359,0.011894,0.007379,0.004615,0.025384,0.061546,0.046052,0.003944,0.029201
8.203125,0.104866,0.034297,0.255472,0.070565,0.043324,0.085631,1,0.13057,0.192438,0.189385,0.135201,0.205245,0.105655,0.062502,0.087281,0.105708
8.59375,0.122608,0.051515,0.071912,0.059484,0.024435,0.024289,1,0.115771,0.073731,0.095931,0.068454,0.049943,0.091473,0.060645,0.120805,0.112243
8.984375,0.121782,0.270085,0.018731,0.25559,0.031708,0.017276,1,0.148118,0.038945,0.012733,0.021629,0.082792,0.043782,0.029766,0.065475,0.060852
9.375,0.037962,0.047868,0.072574,0.085222,0.080532,0.030958,1,0.083353,0.338054,0.344023,0.334697,0.274822,0.048133,0.196282,0.093643,0.094202
9.765625,0.043169,0.049484,0.061262,0.065094,0.163362,0.09887,1,0.037123,0.271149,0.26246,0.358882,0.190891,0.164378,0.427606,0.425217,0.424171
10.15625,0.017269,0.058646,0.073694,0.04158,0.007652,0.074184,1,0.08942,0.077462,0.085375,0.083624,0.055438,0.020581,0.03909,0.028019,0.0283
10.546875,0.060968,0.018384,0.046811,0.033668,0.031539,0.073501,1,0.048209,0.122377,0.103264,0.076251,0.146534,0.051455,0.150375,0.016492,0.026481
10.9375,0.002749,0.0708,0.086647,0.051166,0.06937,0.173096,1,0.192584,0.085884,0.068737,0.07177,0.084436,0.125972,0.012747,0.127343,0.075159
11.328125,0.093821,0.149609,0.121963,0.126478,0.032818,0.134941,1,0.083925,0.241788,0.306729,0.212337,0.17241,0.023227,0.097874,0.056853,0.068184
11.71875,0.155447,0.056623,0.049936,0.018529,0.130876,0.024448,1,0.031457,0.018213,0.017395,0.027874,0.011796,0.01518,0.010666,0.01639,0.015816
12.109375,0.153207,0.11479,0.002912,0.043145,0.261735,0.039256,1,0.005585,0.074329,0.05689,0.065358,0.089359,0.057946,0.035207,0.149149,0.093772
12.5,0.156231,0.067768,0.090901,0.085279,0.081754,0.033172,1,0.043397,0.023567,0.015187,0.005472,0.054128,0.048603,0.014983,0.109833,0.056877
12.890625,0.147465,0.043192,0.102276,0.024816,0.251511,0.135228,1,0.036111,0.101721,0.056349,0.002616,0.224445,0.020499,0.047244,0.0145,0.002814
13.28125,0.016055,0.056843,0.122568,0.0161,0.17832,0.017329,1,0.019161,0.025168,0.03342,0.028904,0.02077,0.017839,0.00763,0.044818,0.014943
13.671875,0.029802,0.03257,0.12716,0.004739,0.114648,0.012636,1,0.03846,0.056755,0.048749,0.054457,0.064562,0.180791,0.029076,0.034206,0.011072
14.0625,0.031234,0.032194,0.064195,0.05154,0.088238,0.027361,1,0.055077,0.214057,0.23893,0.202002,0.144566,0.020418,0.077405,0.088942,0.078986
14.453125,0.033865,0.038637,0.185844,0.097391,0.044935,0.12248,1,0.113112,0.062937,0.06583,0.043224,0.061672,0.07575,0.02222,0.086505,0.047638
14.84375,0.053724,0.106016,0.09662,0.00423,0.26087,0.127982,1,0.110312,0.018796,0.012167,0.051954,0.024837,0.104052,0.03931,0.010192,0.012296
15.234375,0.139227,0.029833,0.019528,0.011004,0.078746,0.124978,1,0.04807,0.00874,0.02042,0.027548,0.00241,0.095468,0.04722,0.041104,0.023178
15.625,0.009567,0.016979,0.04144,0.00273,0.06131,0.101458,1,0.102593,0.015897,0.004222,0.044172,0.0102,0.042928,0.015201,0.026269,0.001301
16.015625,0.119984,0.16603,0.164132,0.059601,0.056223,0.066312,1,0.099662,0.085787,0.03078,0.093959,0.14636,0.072618,0.026116,0.055758,0.017052
16.40625,0.046755,0.05724,0.047013,0.037093,0.107648,0.130506,1,0.196798,0.068241,0.075349,0.06986,0.051196,0.02013,0.132049,0.087642,0.075608
16.796875,0.044087,0.02139,0.1468,0.07259,0.080469,0.204911,1,0.055856,0.031499,0.020934,0.013707,0.081484,0.286475,0.173614,0.054849,0.010364
17.1875,0.103903,0.067237,0.065465,0.023118,0.168601,0.104595,1,0.02379,0.075436,0.091514,0.048049,0.08002,0.183354,0.112331,0.067565,0.029311
17.578125,0.212049,0.014176,0.074299,0.030967,0.238538,0.143636,1,0.014116,0.019403,0.011782,0.022085,0.024937,0.047847,0.014506,0.001797,0.010534
17.96875,0.087974,0.070009,0.104412,0.109937,0.103426,0.123956,1,0.179285,0.146731,0.12607,0.122156,0.166392,0.022902,0.005151,0.014356,0.008464
18.359375,0.134136,0.018174,0.065135,0.171371,0.156544,0.092088,1,0.034848,0.084069,0.094182,0.069572,0.081489,0.058712,0.074569,0.040046,0.060112
18.75,0.047536,0.018475,0.018958,0.087203,0.034624,0.270352,1,0.018184,0.208555,0.148919,0.197791,0.234213,0.186668,0.172475,0.157626,0.220786
19.140625,0.057405,0.007669,0.078214,0.046392,0.252155,0.235557,1,0.087805,0.204749,0.086233,0.150575,0.295178,0.120739,0.049242,0.138424,0.111384
