time,motion
0.0334,52.0
0.066725,27.0
0.10005,28.0
0.1334,43.0
0.166725,42.0
0.20005,31.0
0.2334,30.0
0.266725,20.0
0.30005,23.0
0.3334,27.0
0.366725,28.0
0.40005,24.0
0.4334,33.0
0.466725,54.0
0.50005,63.0
0.5334,65.0
0.566725,58.0
0.60005,51.0
0.6334,43.0
0.666725,46.0
0.70005,36.0
0.7334,39.0
0.766725,59.0
0.80005,47.0
0.8334,53.0
0.866725,36.0
0.90005,24.0
0.933375,16.0
0.966725,25.0
1.00005,48.0
1.033375,65.0
1.066725,64.0
1.10005,80.0
1.133375,90.0
1.166725,78.0
1.20005,82.0
1.233375,63.0
1.266725,34.0
1.30005,55.0
1.333375,76.0
1.366725,67.0
1.40005,80.0
1.433375,76.0
1.466725,44.0
1.50005,44.0
1.533375,43.0
1.566725,28.0
1.60005,51.0
1.633375,76.0
1.666725,52.0
1.70005,37.0
1.733375,54.0
1.7667,13.0
1.80005,37.0
1.833375,29.0
1.8667,53.0
1.90005,54.0
1.933375,51.0
1.9667,79.0
2.00005,90.0
2.033375,78.0
2.0667,57.0
2.10005,19.0
2.133375,29.0
2.1667,50.0
2.20005,77.0
2.233375,74.0
2.2667,97.0
2.30005,110.0
2.333375,110.0
2.3667,91.0
2.40005,78.0
2.433375,98.0
2.4667,173.0
2.50005,105.0
2.533375,98.0
2.5667,50.0
2.600025,37.0
2.633375,25.0
2.6667,16.0
2.700025,11.0
2.733375,21.0
2.7667,29.0
2.800025,14.0
2.833375,19.0
2.8667,21.0
2.900025,18.0
2.933375,17.0
2.9667,13.0
3.000025,16.0
3.033375,16.0
3.0667,23.0
3.100025,29.0
3.133375,23.0
3.1667,31.0
3.200025,32.0
3.233375,20.0
3.2667,11.0
3.300025,20.0
3.333375,23.0
3.3667,18.0
3.400025,13.0
3.43335,15.0
3.4667,20.0
3.500025,21.0
3.53335,14.0
3.5667,13.0
3.600025,13.0
3.63335,11.0
3.6667,18.0
3.700025,30.0
3.73335,41.0
3.7667,36.0
3.800025,33.0
3.83335,16.0
3.8667,16.0
3.900025,25.0
3.93335,20.0
3.9667,16.0
4.000025,18.0
4.03335,23.0
4.0667,21.0
4.100025,21.0
4.13335,19.0
4.1667,21.0
4.200025,11.0
4.23335,10.0
4.266675,19.0
4.300025,16.0
4.33335,32.0
4.366675,45.0
4.400025,89.0
4.43335,92.0
4.466675,82.0
4.500025,73.0
4.53335,44.0
4.566675,33.0
4.600025,43.0
4.63335,40.0
4.666675,33.0
4.700025,37.0
4.73335,30.0
4.766675,34.0
4.800025,32.0
4.83335,39.0
4.866675,47.0
4.900025,36.0
4.93335,38.0
4.966675,48.0
5.000025,54.0
5.03335,31.0
