Frequency Value,FP01,FP02,FP03,FP04,FP05,FP06,FP07,FP08,FP09,FP10,FP11,FP12,FP13,FP14,FP15,FP16,FP17,FP18,FP19,FP20,FP21,FP22,FP23,FP24,FP25,FP26,FP27,FP28,FP29,FP30,FP31,FP32
0,0.003306,0.12703,0.000129,0.06655,0.007393,0.048537,0.104365,0.000891,0.252485,0.001314,0.028331,0.045176,0.082656,0.365911,0.00008572575,0.170504,0.809882,0.484012,0.856539,0.805846,0.86321,0.877822,0.905793,0.925068,0.728667,1,0.83824,0.827533,0.321636,0.048484,0.57426,0.755461
0.390625,0.095603,0.086155,0.01201,0.073293,0.118255,0.042017,0.073748,0.042808,0.128154,0.037852,0.033507,0.071152,0.090059,0.093458,0.010807,0.242334,0.733889,0.675433,0.790619,0.806741,0.78646,0.875498,0.852044,0.83811,0.89769,1,0.807272,0.819375,0.561418,0.589352,0.80174,0.823403
0.78125,0.076669,0.095111,0.064464,0.109317,0.09274,0.080571,0.094272,0.052214,0.140305,0.160016,0.166991,0.079283,0.1121,0.093808,0.102952,0.302257,0.566806,0.536223,0.68393,0.787842,0.717258,0.790646,0.784015,0.769511,0.92741,1,0.671741,0.798853,0.402861,0.595308,0.750159,0.77384
1.171875,0.024071,0.056333,0.106007,0.058079,0.012073,0.075754,0.169996,0.105795,0.178324,0.083538,0.162594,0.028554,0.095765,0.02913,0.130315,0.207056,0.335926,0.286597,0.524322,0.811259,0.62833,0.618577,0.735261,0.815678,0.882875,1,0.405728,0.74098,0.247132,0.295577,0.574925,0.645702
1.5625,0.027143,0.031382,0.040774,0.010135,0.048023,0.027835,0.048529,0.065836,0.261939,0.011738,0.085849,0.11791,0.060061,0.070869,0.081006,0.0855,0.519341,0.464594,0.597648,0.825124,0.73735,0.731703,0.807304,0.827436,0.895673,1,0.527732,0.818132,0.062888,0.363858,0.725666,0.711329
1.953125,0.007534,0.014893,0.078734,0.022624,0.018264,0.021785,0.108234,0.158088,0.301532,0.073129,0.111564,0.088244,0.073273,0.081943,0.069886,0.02974,0.428897,0.349305,0.627352,0.857095,0.716779,0.702652,0.798201,0.844707,0.883781,1,0.436575,0.793592,0.255986,0.280304,0.649576,0.67914
2.34375,0.017704,0.031359,0.371691,0.260091,0.129754,0.039387,0.407691,0.354218,0.604709,0.13591,0.027043,0.238769,0.231834,0.200626,0.07659,0.069215,0.525332,0.405891,0.797423,0.893439,0.798452,0.767792,0.875337,0.896542,0.946223,1,0.397928,0.844717,0.26842,0.122953,0.735579,0.706881
2.734375,0.084116,0.05709,0.542302,0.414986,0.220234,0.008564,0.565285,0.504271,0.767739,0.131031,0.035059,0.439284,0.323128,0.180478,0.048657,0.128791,0.690074,0.583556,0.820083,0.942522,0.866935,0.849047,0.918362,0.943062,0.959878,1,0.562861,0.915109,0.280336,0.214669,0.83558,0.813281
3.125,0.037738,0.011351,0.333713,0.215676,0.107571,0.006731,0.403459,0.405176,0.619913,0.113425,0.069076,0.281929,0.134388,0.154651,0.083982,0.062775,0.516011,0.392823,0.71947,0.909604,0.784314,0.75769,0.885312,0.917411,0.936086,1,0.389378,0.876319,0.288592,0.083381,0.735289,0.769205
3.515625,0.048252,0.07075,0.245909,0.147973,0.065115,0.043442,0.307266,0.313995,0.51844,0.112805,0.103912,0.197023,0.090237,0.088715,0.050074,0.04185,0.411518,0.315123,0.68465,0.84488,0.714737,0.682667,0.836137,0.866844,0.878642,1,0.32783,0.8119,0.215123,0.114506,0.646354,0.653082
3.90625,0.039288,0.073985,0.258518,0.176692,0.109652,0.014258,0.365522,0.397233,0.436583,0.233953,0.17076,0.17431,0.078576,0.13658,0.118349,0.044022,0.46656,0.391721,0.659479,0.832468,0.704019,0.679923,0.840615,0.877473,0.891922,1,0.360114,0.808406,0.057594,0.131688,0.644156,0.637222
4.296875,0.044795,0.040052,0.282194,0.21295,0.146666,0.015257,0.316843,0.278442,0.48561,0.205792,0.148521,0.24375,0.072879,0.060035,0.135945,0.152454,0.548623,0.455143,0.765635,0.867264,0.777038,0.755781,0.890427,0.901485,0.946162,1,0.474352,0.866033,0.1324,0.1628,0.761377,0.723287
4.6875,0.130851,0.040685,0.351948,0.250391,0.093473,0.041302,0.34826,0.295958,0.453266,0.073863,0.021713,0.236276,0.136427,0.145267,0.046145,0.139543,0.666015,0.624101,0.765399,0.827156,0.792666,0.83116,0.865438,0.856364,0.931741,1,0.623191,0.883033,0.024656,0.372236,0.794656,0.806022
